2026-08-07 00:31:22 | INFO     | jarvis.nlp           | NLP: 'qué día es hoy' → intent=FECHA (86%) ent={}
2026-08-07 00:31:22 | INFO     | jarvis.voz           | TTS: Hoy es 7 de agosto de 2026.
2026-08-07 00:31:31 | INFO     | jarvis.escucha       | Texto reconocido: 'qué significa mouse'
2026-08-07 00:31:31 | INFO     | jarvis.main          | Usuario dijo: 'qué significa mouse'
2026-08-07 00:31:31 | INFO     | jarvis.cerebro       | Procesando: 'qué significa mouse' (estado=ESCUCHANDO)
2026-08-07 00:31:31 | INFO     | jarvis.nlp           | NLP: 'qué significa mouse' → intent=DEFINIR (92%) ent={'palabra': 'mouse'}
2026-08-07 00:31:31 | INFO     | jarvis.definiciones  | Buscando definición de: 'mouse'
2026-08-07 00:31:35 | INFO     | jarvis.voz           | TTS: No encontré una definición para 'mouse'. Puede que sea un término muy especializado o un nombre propio.
2026-08-07 00:31:46 | INFO     | jarvis.escucha       | Texto reconocido: 'qué significa ratón'
2026-08-07 00:31:46 | INFO     | jarvis.main          | Usuario dijo: 'qué significa ratón'
2026-08-07 00:31:46 | INFO     | jarvis.cerebro       | Procesando: 'qué significa ratón' (estado=ESCUCHANDO)
2026-08-07 00:31:46 | INFO     | jarvis.nlp           | NLP: 'qué significa ratón' → intent=DEFINIR (92%) ent={'palabra': 'raton'}
2026-08-07 00:31:46 | INFO     | jarvis.definiciones  | Buscando definición de: 'raton'
2026-08-07 00:31:46 | INFO     | jarvis.voz           | TTS: No encontré una definición para 'raton'. Puede que sea un término muy especializado o un nombre propio.
2026-08-07 00:31:58 | INFO     | jarvis.escucha       | Texto reconocido: 'abrir youtube'
2026-08-07 00:31:58 | INFO     | jarvis.main          | Usuario dijo: 'abrir youtube'
2026-08-07 00:31:58 | INFO     | jarvis.cerebro       | Procesando: 'abrir youtube' (estado=ESCUCHANDO)
2026-08-07 00:31:58 | INFO     | jarvis.nlp           | NLP: 'abrir youtube' → intent=ABRIR_APP (100%) ent={'app': 'youtube'}
2026-08-07 00:31:58 | INFO     | jarvis.apps          | App no encontrada: 'youtube'
2026-08-07 00:31:58 | INFO     | jarvis.voz           | TTS: No encontré ninguna aplicación llamada 'youtube'. ¿Puedes intentarlo con otro nombre?
2026-08-07 00:32:08 | INFO     | jarvis.escucha       | Texto reconocido: 'firefox'
2026-08-07 00:32:08 | INFO     | jarvis.main          | Usuario dijo: 'firefox'
2026-08-07 00:32:08 | INFO     | jarvis.cerebro       | Procesando: 'firefox' (estado=ESCUCHANDO)
2026-08-07 00:32:08 | INFO     | jarvis.nlp           | NLP: 'firefox' → intent=None (0%) ent={}
2026-08-07 00:32:08 | INFO     | jarvis.voz           | TTS: No sé hacer eso aún. ¿Puedo ayudarte con algo más?
2026-08-07 00:32:14 | INFO     | jarvis.escucha       | Texto reconocido: 'abrir firefox'
2026-08-07 00:32:14 | INFO     | jarvis.main          | Usuario dijo: 'abrir firefox'
2026-08-07 00:32:14 | INFO     | jarvis.cerebro       | Procesando: 'abrir firefox' (estado=ESCUCHANDO)
2026-08-07 00:32:14 | INFO     | jarvis.nlp           | NLP: 'abrir firefox' → intent=ABRIR_APP (100%) ent={'app': 'firefox'}
2026-08-07 00:32:14 | INFO     | jarvis.apps          | App no encontrada: 'firefox'
2026-08-07 00:32:14 | INFO     | jarvis.voz           | TTS: No encontré ninguna aplicación llamada 'firefox'. ¿Puedes intentarlo con otro nombre?
2026-08-07 00:32:23 | INFO     | jarvis.escucha       | Texto reconocido: 'abrir antigravity'
2026-08-07 00:32:23 | INFO     | jarvis.main          | Usuario dijo: 'abrir antigravity'
2026-08-07 00:32:23 | INFO     | jarvis.cerebro       | Procesando: 'abrir antigravity' (estado=ESCUCHANDO)
2026-08-07 00:32:23 | INFO     | jarvis.nlp           | NLP: 'abrir antigravity' → intent=ABRIR_APP (100%) ent={'app': 'antigravity'}
2026-08-07 00:32:23 | INFO     | jarvis.apps          | App encontrada (exacta): 'antigravity' → 'Antigravity'
2026-08-07 00:32:23 | INFO     | jarvis.apps          | App lanzada: 'Antigravity' → ['/usr/share/antigravity/antigravity']
2026-08-07 00:32:23 | INFO     | jarvis.voz           | TTS: Iniciando el programa Antigravity.
2026-08-07 00:32:37 | INFO     | jarvis.escucha       | Texto reconocido: 'en qué ventana estoy'
2026-08-07 00:32:37 | INFO     | jarvis.main          | Usuario dijo: 'en qué ventana estoy'
2026-08-07 00:32:37 | INFO     | jarvis.cerebro       | Procesando: 'en qué ventana estoy' (estado=ESCUCHANDO)
